Author,Story Date,Story URL,Headline,Claim URL,Claimed By,What (Claim),About Subject,About Person,Language
Ashish Maharishi,4th Sep 2023,https://www.vishvasnews.com/viral/fact-check-leopard-video-goes-viral-suffering-from-mental-illness-false-claim-with-he-is-drunk/,Fact Check : दिमागी रोग से पीड़ित तेंदुए का वीडियो गलत दावे के साथ वायरल,https://www.facebook.com/permalink.php?story_fbid=pfbid02HbnqgC3FDCFuKVNHBJUeDrJhV13z6hVzgNCYCcB8oA2vWVc9TLyAftzMbZX6XHmtl&id=100035306682641,फेसबुक यूजर सोनू,गांव तारागढ़ मे तेंदुआ कच्ची शराब की भट्टी से दारू पी गया ओर भूल गया की वो शेर है।,Anti Animal,NA,Hindi
Pragya Shukla,1st Sep 2023,https://www.vishvasnews.com/politics/fact-check-durga-puja-diwali-and-chhath-puja-holidays-not-canceled-in-bihar-viral-claim-misleading/,"Fact check : बिहार में रद्द नहीं की गई दुर्गा पूजा, दिवाली और छठ पूजा की छुट्टियां, वायरल दावा भ्रामक",https://www.facebook.com/raushankumar.deepak.10/posts/pfbid02Gxf7nLsUCucHU7b4P18JpDavSdrvCZTTitzS7YgGpa7Q5Kr1H5DUiWgwPAHnDF3Ll,फेसबुक यूजर रोशन कुमार,"बिहार में रद्द हुई गई दुर्गा पूजा, दिवाली और छठ पूजा की छुट्टियां।",School Holidays Cancelled by Nitish government,Nitish government,Hindi
Ashish Maharishi,4th Sep 2023,https://www.vishvasnews.com/sports/fact-check-viral-picture-of-bjp-flag-has-no-connection-with-india-pak-match/,Fact Check : भाजपा के झंडे वाली वायरल तस्वीर का नहीं है भारत-पाक मैच से कोई संबंध,https://twitter.com/HardCricketPics/status/1697956419507810716,फेसबुक यूजर Allen Sebsatian,भारत-पाक मैच में भाजपा का झंडा,Against BJP,NA,Hindi
Pragya Shukla,4th Sep 2023,https://www.vishvasnews.com/sports/fact-check-a-false-claim-viral-of-picture-pakistan-cricket-jersey-edited-and-added-as-bowl/,"Fact Check : पाकिस्तान की जर्सी की तस्वीर को एडिट कर जोड़ गया कटोरा, वायरल दावा फर्जी",https://www.facebook.com/groups/1590584664576195/posts/3217603978540914/,फेसबुक यूजर विशाल सक्सेना,पाकिस्तान क्रिकेट टीम ने अपनी जर्सी पर छापा कटोरा।,pakistan cricket new jersey,pakistan,Hindi
Pragya Shukla,5th Sep 2023,https://www.vishvasnews.com/society/fact-check-man-attack-on-family-due-to-financial-crisis-false-video-viral-as-communal-angle-in-rajasthan/,"Fact Check : राजस्थान में तंगी से परेशान शख्स ने परिवार पर किया था हमला, घटना को सांप्रदायिक रंग देकर किया जा रहा शेयर",https://www.facebook.com/eshani.khan.9634/posts/pfbid022b4Q1ZBFA8HQNtXEvMVNsuPrneFfjt8B3Yea4JfKoDC92HoNoiGC5JdtMmfgMRgVl,फेसबुक यूजर पडिताइन शिवांगी,राज्यस्थान में एकतरफ प्यार में एक मुस्लिम शख्स ने पूरे परिवार पर किया हमला।,Muslim Men attach Hindi Family,Hindi Family,Hindi
Pragya Shukla,6th Sep 2023,https://www.vishvasnews.com/sports/fact-check-one-year-old-video-goes-viral-pakistani-players-celebrating-asia-cup/,"Fact Check : जश्न मनाते पाकिस्तानी खिलाड़ियों का वीडियो एक साल पुराना, हालिया एशिया कप से नहीं है संबंध",https://twitter.com/sheshkaranbishn/status/1698645531441144122,फेसबुक यूजर ‘कट्टर हिंदू राजन’,बारिश के कारण भारत बनाम मैच रद्द होने के बाद पाकिस्तान के ड्रेसिंग रूम से लीक हुआ फुटेज।,Pakistani players Celebrating,pakistani players,Hindi
Pragya Shukla,6th Sep 2023,https://www.vishvasnews.com/entertainment/fact-check-a-false-post-viral-in-the-name-of-sara-ali-khan-went-to-bageshwar-dham-temple-meet-dhirendra-shastri/,"Fact Check : अभिनेत्री सारा अली खान नहीं गई बागेश्वर धाम, वायरल दावा गलत",https://www.facebook.com/100091614973312/videos/318968730535063,फेसबुक यूजर ट्रेंड क्लिप,बागेश्वर धाम पहुंची सारा अली खान।,Sara Ali Khan in Bageshwar Dham,Sara Ali Khan,Hindi
Pragya Shukla,9th Sep 2023,https://www.vishvasnews.com/viral/fact-check-2019-released-movie-pm-narendra-modi-clip-viral-as-kangana-ranaut-film-emergency/,Fact Check : ‘पीएम नरेंद्र मोदी’ मूवी की क्लिप को कंगना रनोट की फिल्म इमरजेंसी से जोड़कर किया जा रहा शेयर,https://www.facebook.com/vishal.sunsunwal.7/posts/574002818097946/,फेसबुक यूजर ‘विशाल फौजदार सुनसुनवाल’,फिल्म इमरजेंसी का ट्रेलर जारी हुआ।,Movie on emergency,PM Modi,Hindi
Pragya Shukla,7th Sep 2023,https://www.vishvasnews.com/entertainment/fact-check-false-video-viral-of-jawan-movie-trailer-added-with-people-watching-football/,"Fact Check : जश्न मनाते लोगों का ये वीडियो जवान फिल्म देख रहे दर्शकों का नहीं, फुटबॉल मैच का है",https://twitter.com/Ajukhan111/status/1698992583052079424,ट्विटर यूजर ‘अजु भाई’,‘जवान’ का ट्रेलर देखते लोग।,Jawan Movie craze,Shahrukh khan,Hindi
Jyoti,11th Sep 2023,https://www.vishvasnews.com/entertainment/fact-check-up-cm-yogi-adityanath-old-statement-viral-with-shahrukh-khan-movie-jawan-false-claim/,"Fact Check : शाहरुख़ खान की फिल्‍म जवान को लेकर योगी आदित्‍यनाथ ने नहीं दिया यह वायरल बयान, बरसों पुराना बयान अब वायरल",https://www.facebook.com/100075894425710/videos/269396742686406,फेसबुक यूजर - अभी मौर्या भोजपुरी सिनेमा,“जवान फिल्म पर भड़के योगी महाराज जी।,Jawan Movie,CM Yogi,Hindi
Sharad Prakash Asthana,11th Sep 2023,https://www.vishvasnews.com/entertainment/fact-check-sonu-nigam-is-not-active-on-twitter-x-account-viral-post-of-jawan-movie-is-from-parody-account/,"Fact Check: एक्स पर सक्रिय नहीं हैं सोनू निगम, जवान को लेकर की गई पोस्ट पैरोडी अकाउंट की है",https://twitter.com/BJYAM11/status/1700417189373960680,X User- Sonu Nirgam,सोनू निगम ने पोस्ट कर जवान मूवी के बहिष्कार की बात कही।,Sonu Nigam,Sonu Nigam,Hindi
Sharad Prakash Asthana,8th Sep 2023,https://www.vishvasnews.com/politics/fact-check-shashwat-goel-kaun-banega-crorepati-14-7-5-crore-question-edited-video-viral/,Fact Check : कौन बनेगा करोड़पति के 7.5 करोड़ वाले सवाल का यह वायरल वीडियो एडिटेड है,https://www.facebook.com/permalink.php?story_fbid=6488176277897104&id=100001143889046;,FB User- वैदवान रविंद्र कुमार,कौन बनेगा करोड़पति में 7.5 करोड़ के लिए पूछा गया सवाल- उज्जैन में स्थित महाकाल लोक किस सरकार की देन है।,Kaun Banega Crorepati,NA,Hindi
Sharad Prakash Asthana,7th Sep 2023,https://www.vishvasnews.com/society/fact-check-delhi-g20-restrictions-2023-imposed-in-news-delhi-and-ndmc-area-only/,"Fact Check: G20 के कारण पूरे दिल्‍ली में लॉकडाउन का भ्रामक दावा वायरल, सिर्फ नई दिल्‍ली जिले में रहेंगे कुछ प्रतिबंध",https://www.facebook.com/reel/1235935867099060,FB User- तुषार एस बिष्ट,G20 के कारण दिल्ली में तीन दिन का लॉकडाउन लगेगा।,G20 in Delhi,NA,Hindi
